City,Cuisines, Average Rating City-Cuisine Pair , Total Votes for a City-Cuisine Pair ,,
New Delhi,"South Indian, Chinese", 3.60 , 109.00 ,,
New Delhi,Thai, 3.80 , 63.00 ,,
New Delhi,Thai, 3.80 , 63.00 ,,
New Delhi,Thai, 3.80 , 63.00 ,,
New Delhi,Thai, 3.80 , 63.00 ,,
Varanasi,"Cafe, North Indian, Chinese", 4.10 , 122.00 ,,
Sí£o Paulo,"Brazilian, Italian", 4.10 , 142.00 ,,
New Delhi,"North Indian, Mediterranean, Asian, Continental", 4.10 , 114.00 ,,
New Delhi,"Cafe, Mexican, Italian, North Indian, Chinese", 4.60 , 214.00 ,,
New Delhi,"North Indian, Italian, Continental", 4.30 , 116.00 ,,
New Delhi,"North Indian, Italian, Continental", 4.30 , 116.00 ,,
New Delhi,"North Indian, Italian, Continental", 4.30 , 116.00 ,,
New Delhi,"North Indian, Italian, Continental", 4.30 , 116.00 ,,
New Delhi,"North Indian, Italian, Continental", 4.30 , 116.00 ,,
Brasí_lia,"Peruvian, Latin American", 4.20 , 112.00 ,,
Coimbatore,"Cafe, Continental, Fast Food", 4.10 , 144.00 ,,
New Delhi,"North Eastern, North Indian, Chinese", 4.60 , 166.00 ,,
Sharjah,"American, Mexican", 4.50 , 208.00 ,,
Johannesburg,"American, Burger", 3.90 , 136.00 ,,
Kolkata,"European, American", 4.00 , 85.00 ,,
Dubuque,American, 4.10 , 117.00 ,,
Noida,American, 3.40 , 53.00 ,,
Noida,American, 3.40 , 53.00 ,,
Lorn,"Breakfast, Coffee and Tea", 3.70 , 201.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Faridabad,"North Indian, Mughlai, Chinese", -   , 2.00 ,,
Des Moines,"Seafood, Sushi", 3.20 , 113.00 ,,
Consort,"Chinese, Canadian", 4.50 ," 1,109.00 ",,
Allahabad,"North Indian, Chinese", 4.60 , 728.00 ,,
Allahabad,"North Indian, Chinese", 4.60 , 728.00 ,,
Allahabad,"North Indian, Chinese", 4.60 , 728.00 ,,
Bangalore,"Asian, Mediterranean, North Indian", 4.30 , 532.00 ,,
New Delhi,"South Indian, Fast Food, North Indian, Chinese", 4.80 , 860.00 ,,
Abu Dhabi,"Indian, South Indian", 4.20 , 943.00 ,,
New Delhi,"Cafe, Healthy Food, Continental", 4.10 , 476.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
